"keys","en","zh_CN","zh_TW","ja","ko","es","fr","de","pt","ru","pl","vi","id","ar","tr","th","uk"
"SETTING_CARET_TYPE","Caret type","光标类型","游標類型","キャレットタイプ","캐럿 유형","Tipo de cursor","Type de curseur","Cursor-Typ","Tipo de cursor","Тип курсора","Typ kursora","Loại con trỏ","Jenis kursor","نوع المؤشر","İmleç türü","ประเภทเคอร์เซอร์","Тип курсора"
"SETTING_CARET_BLINK","Caret blink interval","光标闪烁间隔","游標閃爍間隔","キャレット点滅間隔","캐럿 깜빡임 간격","Intervalo de parpadeo del cursor","Intervalle de clignotement du curseur","Cursor-Blinkintervall","Intervalo de piscada do cursor","Интервал мигания курсора","Interwał migania kursora","Khoảng thời gian chớp con trỏ","Interval kedipan kursor","فترة وميض المؤشر","İmleç yanıp sönme aralığı","ช่วงเวลากะพริบของเคอร์เซอร์","Інтервал мигання курсора"
"SETTING_EDITOR_FONT","Editor Font","编辑器字体","編輯器字型","エディタのフォント","편집기 글꼴","Fuente del editor","Police de l'éditeur","Editor-Schriftart","Fonte do editor","Шрифт редактора","Czcionka edytora","Phông chữ trình soạn thảo","Font editor","خط المحرر","Düzenleyici yazı tipi","แบบอักษรของตัวแก้ไข","Шрифт редактора"
"SETTING_CARET_INTERVAL","Caret blink interval","光标闪烁间隔","游標閃爍間隔","キャレット点滅間隔","캐럿 깜빡임 간격","Intervalo de parpadeo del cursor","Intervalle de clignotement du curseur","Cursor-Blinkintervall","Intervalo de piscada do cursor","Интервал мигания курсора","Interwał migania kursora","Khoảng thời gian chớp con trỏ","Interval kedipan kursor","فترة وميض المؤشر","İmleç yanıp sönme aralığı","ช่วงเวลากะพริบของเคอร์เซอร์","Інтервал мигання курсора"
"SETTING_DRAW_LINE_NUMBERS","Draw Line Number","显示行号","顯示行號","行番号を表示","줄 번호 표시","Mostrar número de línea","Afficher les numéros de ligne","Zeilennummern anzeigen","Mostrar números de linha","Показывать номера строк","Pokaż numery linii","Hiển thị số dòng","Tampilkan nomor baris","إظهار أرقام الأسطر","Satır numaralarını göster","แสดงหมายเลขบรรทัด","Показувати номери рядків"
"SETTING_CODE_COMPLETION","Code Completion","代码补全","程式碼補全","コード補完","코드 자동 완성","Autocompletado de código","Autocomplétion du code","Code-Vervollständigung","Autocompletar código","Автодополнение кода","Autouzupełnianie kodu","Tự động hoàn thành mã","Pelengkapan kode otomatis","الإكمال التلقائي للكود","Kod tamamlama","เติมโค้ดอัตโนมัติ","Автодоповнення коду"
"SETTING_INDENTATION_SIZE","Indentation Size","缩进大小","縮排大小","インデントサイズ","들여쓰기 크기","Tamaño de sangría","Taille d'indentation","Einrückungsgröße","Tamanho da indentação","Размер отступа","Rozmiar wcięcia","Kích thước thụt lề","Ukuran indentasi","حجم الإزاحة","Girinti boyutu","ขนาดย่อหน้า","Розмір відступу"
"SETTING_INDENTATION_AUTOMATIC","Automatic Indentation","自动缩进","自動縮排","自動インデント","자동 들여쓰기","Sangría automática","Indentation automatique","Automatische Einrückung","Indentação automática","Автоматический отступ","Automatyczne wcięcia","Thụt lề tự động","Indentasi otomatis","إزاحة تلقائية","Otomatik girinti","ย่อหน้าอัตโนมัติ","Автоматичний відступ"
"SETTING_INDENTATION_USE_SPACES","Indentation: use spaces","缩进：使用空格","縮排：使用空格","インデント：スペースを使用","들여쓰기: 공백 사용","Sangría: usar espacios","Indentation : utiliser des espaces","Einrückung: Leerzeichen verwenden","Indentação: usar espaços","Отступ: пробелы","Wcięcia: używaj spacji","Thụt lề: dùng khoảng trắng","Indentasi: gunakan spasi","الإزاحة: استخدام مسافات","Girinti: boşluk kullan","ย่อหน้า: ใช้ช่องว่าง","Відступ: пробіли"
"SETTING_AUTO_BRACE_COMPLETION","Auto Brace Completion","自动补全括号","自動補全括號","自動括弧補完","자동 괄호 완성","Autocompletar llaves","Autocomplétion des accolades","Automatische Klammern","Autocompletar chaves","Автозакрытие скобок","Automatyczne domykanie nawiasów","Tự động đóng ngoặc","Penyelesaian kurung otomatis","إكمال الأقواس تلقائيًا","Otomatik parantez tamamlama","เติมวงเล็บอัตโนมัติ","Автозакриття дужок"
